itemA;itemB;similarity
1;2;0.5
1;3;0.0449
1;4;0.0645
1;5;0.3333
1;6;0.5
1;7;0.8
1;8;0.0476
1;9;0.0588
1;10;0.1053
1;11;0.8
1;12;0.3077
1;13;0.1818
1;14;0.0588
1;15;0.0755
1;16;0.0513
1;17;0.1
1;18;0.6667
1;19;0.5
1;22;0.046
1;24;0.0519
1;25;0.8
1;26;0.5
1;27;0.0342
1;28;0.1
1;29;1
1;30;0.3077
2;3;0.2
2;4;0.0889
2;5;1
2;6;0.4444
2;7;0.1379
2;8;0.0702
2;9;0.2
2;10;0.8
2;11;0.2
2;12;0.5
2;13;0.0976
2;14;0.0714
2;15;0.1
2;16;0.5
2;17;0.1
2;18;0.0741
2;19;0.0588
2;20;0.0976
2;21;0.2
2;22;0.8
2;23;0.0588
2;24;0.3077
2;25;0.4444
2;27;0.0408
2;28;0.043
2;29;0.5
2;30;0.1
3;4;0.0952
3;5;0.1111
3;6;0.08
3;7;0.0408
3;8;0.0909
3;9;0.1176
3;10;0.0541
3;11;0.0556
3;12;0.0714
3;13;0.0513
3;14;0.1053
3;15;0.0952
3;16;0.5
3;17;0.8
3;18;0.0615
3;19;0.8
3;20;0.0741
3;21;0.1053
3;22;0.0952
3;23;0.1053
3;24;0.1379
3;25;0.1212
3;26;0.0656
3;27;0.1538
3;28;0.1905
3;29;0.0381
3;30;0.1905
4;5;0.0615
4;6;0.0513
4;7;0.1379
4;8;0.0519
4;9;0.1212
4;10;0.0333
4;11;0.0976
4;12;0.0449
4;13;0.0476
4;14;0.2222
4;15;0.1143
4;16;0.5
4;17;0.5
4;18;0.0909
4;19;0.5
4;20;0.0519
4;21;0.0816
4;22;0.0548
4;23;0.058
4;24;0.8
4;25;0.0909
4;26;0.0702
4;27;0.4
4;28;0.3636
4;29;0.0513
4;30;0.5
5;6;0.5
5;8;0.0833
5;9;0.0816
5;10;0.2222
5;12;0.4444
5;13;0.8
5;14;0.0526
5;15;0.3077
5;16;0.1379
5;17;0.2
5;18;0.4444
5;19;1
5;22;0.129
5;23;0.8
5;24;0.1
5;25;0.8
5;26;1
5;27;0.0396
5;28;0.0714
5;29;0.5
6;7;0.1667
6;8;0.0714
6;9;0.0816
6;10;0.1538
6;11;0.2857
6;12;0.8
6;13;0.1379
6;14;0.0494
6;15;0.1053
6;16;0.1379
6;17;0.1667
6;18;0.4444
6;19;0.5
6;20;0.2
6;21;0.5
6;22;0.1053
6;23;1
6;24;0.0909
6;25;0.6667
6;27;0.0354
6;28;0.0755
6;29;1
6;30;0.5
7;9;0.16
7;10;0.2
7;11;0.1333
7;13;0.0714
7;14;0.1333
7;15;0.0506
7;16;0.1
7;17;1
7;18;0.5
7;19;1
7;20;0.0714
7;21;0.0889
7;22;0.1
7;23;0.5
7;24;0.1429
7;25;0.3077
7;26;0.0816
7;27;0.1429
7;28;0.16
7;29;0.0976
7;30;0.1667
8;9;0.1379
8;10;0.2857
8;11;0.3077
8;12;0.0816
8;13;0.6667
8;14;0.0476
8;15;0.1379
8;16;0.1333
8;17;0.4444
8;18;0.0519
8;19;0.0976
8;20;0.8
8;21;0.3077
8;22;0.5714
8;23;0.6667
8;24;1
8;25;0.0645
8;26;0.5
8;27;0.0471
8;28;0.0548
8;29;0.2
8;30;0.8
9;10;0.0952
9;11;0.0889
9;12;0.1053
9;13;0.2
9;14;0.2222
9;15;0.2222
9;16;0.8
9;17;0.3333
9;18;0.0588
9;19;0.0909
9;20;0.1379
9;21;0.4444
9;22;0.1905
9;23;0.2
9;24;0.4444
9;25;0.5
9;26;0.2353
9;27;0.129
9;28;0.1739
9;29;0.5
9;30;0.3333
10;11;0.1379
10;12;0.1905
10;13;0.5
10;14;0.0367
10;15;0.0741
10;16;0.5
10;17;0.1905
10;18;0.1212
10;19;0.1379
10;20;0.5
10;21;1
10;22;0.4444
10;23;0.4444
10;24;0.3077
10;25;0.5
10;26;0.5
10;27;0.0301
10;28;0.0392
10;29;0.3077
10;30;0.2
11;13;0.0548
11;14;0.087
11;15;0.0354
11;16;0.0909
11;17;0.4444
11;18;0.2353
11;19;0.1905
11;20;0.069
11;21;0.0741
11;22;0.1
11;23;0.1379
11;24;0.1212
11;25;0.1667
11;26;0.0816
11;27;0.1026
11;28;0.0889
11;29;0.0976
11;30;0.1379
12;13;0.3077
12;14;0.0385
12;15;0.3077
12;16;0.2
12;17;0.3077
12;18;0.2857
12;19;0.8
12;22;0.1333
12;23;0.8
12;24;0.1379
12;25;0.8
12;26;1
12;27;0.0333
12;28;0.0526
12;29;1
13;14;0.0615
13;15;0.058
13;16;0.1667
13;17;0.1
13;18;0.3077
13;19;0.0909
13;20;1
13;21;0.3333
13;22;0.5
13;23;0.1667
13;24;1
13;25;0.0909
13;26;0.8
13;27;0.0426
13;28;0.0606
13;29;0.1818
13;30;0.1
14;15;0.1818
14;17;1
14;18;0.0755
14;19;1
14;20;0.0816
14;21;0.2
14;22;0.0513
14;23;0.0702
14;24;0.2857
14;25;0.0702
14;26;0.0976
14;27;0.4
14;28;0.3636
14;29;0.058
14;30;0.3077
15;16;0.5
15;17;0.8
15;18;0.1
15;19;0.8
15;20;0.0513
15;21;0.1212
15;22;0.1667
15;23;0.1379
15;24;0.1333
15;25;0.2
15;26;0.0851
15;27;0.1667
15;28;0.1739
15;29;0.0645
15;30;0.1818
16;17;0.1905
16;18;0.0426
16;19;0.0615
16;20;0.2
16;21;0.5
16;22;1
16;23;0.1
16;24;0.4444
16;25;0.5
16;26;0.3077
16;27;0.1379
16;28;0.1
16;29;0.1379
16;30;0.1667
17;18;0.0976
17;19;0.1667
17;20;0.1
17;21;0.1667
17;22;0.8
17;23;0.3333
17;24;0.5
17;25;0.1
17;27;0.4
17;28;0.4444
17;30;1
18;19;0.4444
18;20;0.8
18;21;0.3077
18;22;0.0548
18;23;0.8
18;24;0.0556
18;25;0.0755
18;26;0.8
18;27;0.0392
18;28;0.1333
18;29;0.6667
18;30;0.4444
19;20;0.0909
19;21;0.1111
19;22;0.1379
19;23;0.5
19;24;0.1
19;25;0.0588
19;27;0.1176
19;28;0.8
19;30;0.5
20;21;0.3333
20;23;0.1667
20;24;0.5
20;25;0.0976
20;27;0.0548
20;28;0.0656
20;30;0.1
21;23;0.1667
21;24;0.3077
21;25;0.2
21;26;0.8
21;27;0.08
21;28;0.087
21;29;0.8
21;30;0.1212
22;23;1
22;24;0.4444
22;25;0.5
22;26;0.2857
22;27;0.0513
22;28;0.0645
22;29;0.1053
22;30;0.5
23;25;0.0588
23;26;0.8
23;27;0.0571
23;28;0.0645
23;30;0.3333
24;25;0.8
24;26;0.1905
24;27;0.4444
24;28;0.5
24;29;0.1379
24;30;1
25;27;0.0388
25;28;0.0426
25;29;0.8
25;30;0.1
26;27;0.0909
26;28;0.0909
26;29;0.5
26;30;0.1905
27;28;0.4
27;29;0.0556
27;30;0.3077
28;29;0.0909
28;30;0.3077
29;30;0.1379
